,,,Authorization,,,,,,,,,Keychain,,Keys,,,
Category,Function,Feature,User,Team Admin,Workspace Admin,Org Billing Manager,Org Admin,Provider Admin,,Curator,MeshMap,Keychain ID,SQL,Key ID,SQL,Inserted,Local Provider
Catalog ,Share Design,"Share design with anyone within your organization, and make your design easily accessible to all relevant team members.",X,X,X,,X,X,,,,Catalog Management,"INSERT INTO keychains (id, name, created_at, owner) VALUES ('Catalog Management','Share Design', NOW(), uuid_nil())",d9ae2b08-762f-418f-916f-43de736b53e2,"INSERT INTO keys (id, keychain_id, category, subcategory, function, description, created_at, owner) VALUES ('d9ae2b08-762f-418f-916f-43de736b53e2','Catalog Management','Catalog Management','Catalog ','Share Design','Share design with anyone within your organization, and make your design easily accessible to all relevant team members.', NOW(), uuid_nil())",X,TRUE
Catalog,Clone Design,Clone any published design to customise it according to your use cases,X,X,X,,X,X,,,,Catalog Management,"INSERT INTO keychains (id, name, created_at, owner) VALUES ('Catalog Management','Clone Design', NOW(), uuid_nil())",94a12f80-3c45-4a1f-afb2-a68b909d0d7f,"INSERT INTO keys (id, keychain_id, category, subcategory, function, description, created_at, owner) VALUES ('94a12f80-3c45-4a1f-afb2-a68b909d0d7f','Catalog Management','Catalog Management','Catalog','Clone Design','Clone any published design to customise it according to your use cases', NOW(), uuid_nil())",X,TRUE
Designs ,View Designs,View all public and published designs of other team members and private of signed-in user,X,X,X,,X,X,,,,Install extension,"INSERT INTO keychains (id, name, created_at, owner) VALUES ('Install extension','View Designs', NOW(), uuid_nil())",3798736d-1f5d-41b3-876f-f3f01453dd15,"INSERT INTO keys (id, keychain_id, category, subcategory, function, description, created_at, owner) VALUES ('3798736d-1f5d-41b3-876f-f3f01453dd15','Install extension','Catalog Management','Designs ','View Designs','View all public and published designs of other team members and private of signed-in user', NOW(), uuid_nil())",X,TRUE
Filters,View Filters,View all public and published filters of other team members and private of signed-in user,X,X,X,,X,X,,,,Install extension,"INSERT INTO keychains (id, name, created_at, owner) VALUES ('Install extension','View Filters', NOW(), uuid_nil())",df41c45f-7c73-49c2-a055-0584fdcec1c1,"INSERT INTO keys (id, keychain_id, category, subcategory, function, description, created_at, owner) VALUES ('df41c45f-7c73-49c2-a055-0584fdcec1c1','Install extension','Catalog Management','Filters','View Filters','View all public and published filters of other team members and private of signed-in user', NOW(), uuid_nil())",X,TRUE
Catalog Requests,View Catalog Requests,View the catalog publication request queue,,,X,,X,X,,,,Chargeback,"INSERT INTO keychains (id, name, created_at, owner) VALUES ('Chargeback','View Catalog Requests', NOW(), uuid_nil())",30b68d69-d199-48fd-b4ff-54b5282c5c03,"INSERT INTO keys (id, keychain_id, category, subcategory, function, description, created_at, owner) VALUES ('30b68d69-d199-48fd-b4ff-54b5282c5c03','Chargeback','Catalog Management','Catalog Requests','View Catalog Requests','View the catalog publication request queue', NOW(), uuid_nil())",X,FALSE
Catalog Requests,Approve Catalog Request,Approve catalog publication requests,,,X,,X,X,,,,Chargeback,"INSERT INTO keychains (id, name, created_at, owner) VALUES ('Chargeback','Approve Catalog Request', NOW(), uuid_nil())",66fbc8c0-b08a-494b-8c60-68ee1b607176,"INSERT INTO keys (id, keychain_id, category, subcategory, function, description, created_at, owner) VALUES ('66fbc8c0-b08a-494b-8c60-68ee1b607176','Chargeback','Catalog Management','Catalog Requests','Approve Catalog Request','Approve catalog publication requests', NOW(), uuid_nil())",X,FALSE
Catalog Requests,Deny Catalog Request,Deny catalog publication requests,,,X,,X,X,,,,Chargeback,"INSERT INTO keychains (id, name, created_at, owner) VALUES ('Chargeback','Deny Catalog Request', NOW(), uuid_nil())",b9137717-a20a-44e8-a2f9-94dc3d1a6dcb,"INSERT INTO keys (id, keychain_id, category, subcategory, function, description, created_at, owner) VALUES ('b9137717-a20a-44e8-a2f9-94dc3d1a6dcb','Chargeback','Catalog Management','Catalog Requests','Deny Catalog Request','Deny catalog publication requests', NOW(), uuid_nil())",X,FALSE
Designs,Create new design,Create new Meshery design,X,X,X,,X,X,,,,Catalog Management,"INSERT INTO keychains (id, name, created_at, owner) VALUES ('Catalog Management','Create new design', NOW(), uuid_nil())",14bd933e-83b7-464d-9a4d-d8c8eb9682ab,"INSERT INTO keys (id, keychain_id, category, subcategory, function, description, created_at, owner) VALUES ('14bd933e-83b7-464d-9a4d-d8c8eb9682ab','Catalog Management','Catalog Management','Designs','Create new design','Create new Meshery design', NOW(), uuid_nil())",X,TRUE
Designs,Import Design,Import a design,X,X,X,,X,X,,,,Catalog Management,"INSERT INTO keychains (id, name, created_at, owner) VALUES ('Catalog Management','Import Design', NOW(), uuid_nil())",cc040d21-3160-4a96-8efa-833487a234cd,"INSERT INTO keys (id, keychain_id, category, subcategory, function, description, created_at, owner) VALUES ('cc040d21-3160-4a96-8efa-833487a234cd','Catalog Management','Catalog Management','Designs','Import Design','Import a design', NOW(), uuid_nil())",X,TRUE
