Keychains,,Keys,,,
Keychain ID,SQL,Key ID,SQL,Inserted,Local Provider
 ,"INSERT INTO keychains (id, name, created_at, owner) VALUES (' ','View Profile', NOW(), uuid_nil())",fa7de118-2d08-4b07-b9d7-3e0baead6d04,"INSERT INTO keys (id, keychain_id, category, subcategory, function, description, created_at, owner) VALUES ('fa7de118-2d08-4b07-b9d7-3e0baead6d04',' ','Account Management','Profile','View Profile','', NOW(), uuid_nil())",Delete Key,FALSE
Meshery as an IDP,"INSERT INTO keychains (id, name, created_at, owner) VALUES ('Meshery as an IDP','Edit Account', NOW(), uuid_nil())",f5e6bb39-c89a-4172-86f9-14a4a59792c1,"INSERT INTO keys (id, keychain_id, category, subcategory, function, description, created_at, owner) VALUES ('f5e6bb39-c89a-4172-86f9-14a4a59792c1','Meshery as an IDP','Account Management','Profile','Edit Account','', NOW(), uuid_nil())",X,FALSE
Meshery as an IDP,"INSERT INTO keychains (id, name, created_at, owner) VALUES ('Meshery as an IDP','Reset Pasword', NOW(), uuid_nil())",ec8a4b2e-8323-4a96-86ef-ec7be8f58ef1,"INSERT INTO keys (id, keychain_id, category, subcategory, function, description, created_at, owner) VALUES ('ec8a4b2e-8323-4a96-86ef-ec7be8f58ef1','Meshery as an IDP','Account Management','Profile','Reset Pasword','', NOW(), uuid_nil())",X,FALSE
Meshery as an IDP,"INSERT INTO keychains (id, name, created_at, owner) VALUES ('Meshery as an IDP','Delete Account', NOW(), uuid_nil())",bbcb024b-78eb-48b0-8e99-f74d3862fe0f,"INSERT INTO keys (id, keychain_id, category, subcategory, function, description, created_at, owner) VALUES ('bbcb024b-78eb-48b0-8e99-f74d3862fe0f','Meshery as an IDP','Account Management','Profile','Delete Account','', NOW(), uuid_nil())",X,FALSE
Meshery as an IDP,"INSERT INTO keychains (id, name, created_at, owner) VALUES ('Meshery as an IDP','Connect your Github Account', NOW(), uuid_nil())",9ea3070a-f2a4-4655-8660-5dba692f3138,"INSERT INTO keys (id, keychain_id, category, subcategory, function, description, created_at, owner) VALUES ('9ea3070a-f2a4-4655-8660-5dba692f3138','Meshery as an IDP','Account Management','Profile','Connect your Github Account','', NOW(), uuid_nil())",X,FALSE
Meshery as an IDP,"INSERT INTO keychains (id, name, created_at, owner) VALUES ('Meshery as an IDP','Connect your Google Account', NOW(), uuid_nil())",bab2c574-d4e8-4e1e-a9f8-48c10be66b62,"INSERT INTO keys (id, keychain_id, category, subcategory, function, description, created_at, owner) VALUES ('bab2c574-d4e8-4e1e-a9f8-48c10be66b62','Meshery as an IDP','Account Management','Profile','Connect your Google Account','', NOW(), uuid_nil())",X,FALSE
Permissions: Keychains and Keys,"INSERT INTO keychains (id, name, created_at, owner) VALUES ('Permissions: Keychains and Keys','View Subcription', NOW(), uuid_nil())",9098e61d-deaa-43da-960c-1bc3d5a00495,"INSERT INTO keys (id, keychain_id, category, subcategory, function, description, created_at, owner) VALUES ('9098e61d-deaa-43da-960c-1bc3d5a00495','Permissions: Keychains and Keys','Account Management','Subscription','View Subcription','', NOW(), uuid_nil())",X,FALSE
Permissions: Keychains and Keys,"INSERT INTO keychains (id, name, created_at, owner) VALUES ('Permissions: Keychains and Keys','View Plans', NOW(), uuid_nil())",1907bd7a-5055-4e9b-98f6-7e8b720af887,"INSERT INTO keys (id, keychain_id, category, subcategory, function, description, created_at, owner) VALUES ('1907bd7a-5055-4e9b-98f6-7e8b720af887','Permissions: Keychains and Keys','Account Management','Plans','View Plans','', NOW(), uuid_nil())",X,FALSE
,"INSERT INTO keychains (id, name, created_at, owner) VALUES ('','Golang (native exponential backoff)', NOW(), uuid_nil())",ec9db4e8-671e-41ff-a0de-842c25d6f421,"INSERT INTO keys (id, keychain_id, category, subcategory, function, description, created_at, owner) VALUES ('ec9db4e8-671e-41ff-a0de-842c25d6f421','','Application Management','Client Library Migration','Golang (native exponential backoff)','', NOW(), uuid_nil())",,FALSE
,"INSERT INTO keychains (id, name, created_at, owner) VALUES ('','GoKit', NOW(), uuid_nil())",1b3e39ba-8d44-4d93-bd3c-202f6d111912,"INSERT INTO keys (id, keychain_id, category, subcategory, function, description, created_at, owner) VALUES ('1b3e39ba-8d44-4d93-bd3c-202f6d111912','','Application Management','Client Library Migration','GoKit','', NOW(), uuid_nil())",,FALSE
,"INSERT INTO keychains (id, name, created_at, owner) VALUES ('','Spring Boot', NOW(), uuid_nil())",39f0cb17-0d30-41c0-b305-04dd63f546cb,"INSERT INTO keys (id, keychain_id, category, subcategory, function, description, created_at, owner) VALUES ('39f0cb17-0d30-41c0-b305-04dd63f546cb','','Application Management','Client Library Migration','Spring Boot','', NOW(), uuid_nil())",,FALSE
,"INSERT INTO keychains (id, name, created_at, owner) VALUES ('','Hystrix', NOW(), uuid_nil())",d65229d7-341b-4986-8f1f-8dfb1673b909,"INSERT INTO keys (id, keychain_id, category, subcategory, function, description, created_at, owner) VALUES ('d65229d7-341b-4986-8f1f-8dfb1673b909','','Application Management','Client Library Migration','Hystrix','', NOW(), uuid_nil())",,FALSE
,"INSERT INTO keychains (id, name, created_at, owner) VALUES ('','', NOW(), uuid_nil())",b2537e5b-be23-4bfd-93f1-49f67051139a,"INSERT INTO keys (id, keychain_id, category, subcategory, function, description, created_at, owner) VALUES ('b2537e5b-be23-4bfd-93f1-49f67051139a','','Application Management','Client Library Migration','','', NOW(), uuid_nil())",,FALSE
